 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,-3e-11,5.9e-11,2.58e-10,3.856917e-10,1.000000e+00,9.791056e-01,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,1.934394e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.221172e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.194803e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.182133e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,0.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.178357e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,-3e-11,5.9e-11,2.58e-10,0,1.000000e+00,1.319132e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,1.089141e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.087715e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.051451e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.050072e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.000000,125.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.062737e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,-3e-11,6.5e-11,2.7e-10,1.807471e-10,1.400000e+00,1.398745e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,-2e-11,5.5e-11,2.8e-10,1.808143e-10,1.400000e+00,1.398745e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,-1e-11,4.5e-11,2.9e-10,1.816333e-10,1.400000e+00,1.398738e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,0.0,3.5e-11,3e-10,0,1.400000e+00,3.033221e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.729000e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,0.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.639930e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,-3e-11,6.5e-11,2.7e-10,2.418947e-10,1.400000e+00,1.383977e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,-2e-11,5.5e-11,2.8e-10,2.441314e-10,1.400000e+00,1.383818e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,-1e-11,4.5e-11,2.9e-10,0,1.400000e+00,3.662577e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,0.0,3.5e-11,3e-10,0,1.400000e+00,1.695557e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.611837e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,tt,1.400000,125.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.567417e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,-3e-11,5.9e-11,2.58e-10,0,1.000000e+00,1.293004e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,9.691763e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,9.834401e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,9.628184e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,9.572315e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,0.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,9.657591e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,-3e-11,5.9e-11,2.58e-10,0,1.000000e+00,8.811048e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,8.804833e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,8.714588e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,8.562591e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,8.556014e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.000000,125.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,8.579108e-06,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,-3e-11,6.5e-11,2.7e-10,2.02323e-10,1.400000e+00,1.397653e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,-2e-11,5.5e-11,2.8e-10,2.027662e-10,1.400000e+00,1.397648e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,-1e-11,4.5e-11,2.9e-10,2.09232e-10,1.400000e+00,1.397553e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,0.0,3.5e-11,3e-10,0,1.400000e+00,1.686043e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.611815e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,0.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.564308e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,-3e-11,6.5e-11,2.7e-10,2.68007e-10,1.400000e+00,1.375965e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,-2e-11,5.5e-11,2.8e-10,2.82814e-10,1.400000e+00,1.374427e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,-1e-11,4.5e-11,2.9e-10,0,1.400000e+00,1.596916e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,0.0,3.5e-11,3e-10,0,1.400000e+00,1.465048e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.400007e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ss,1.400000,125.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.402178e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,-3e-11,5.9e-11,2.58e-10,3.194986e-10,1.000000e+00,9.915549e-01,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,-2e-11,4.9e-11,2.68e-10,3.237087e-10,1.000000e+00,9.913819e-01,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.708628e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.406622e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.346231e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,0.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.325359e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,-3e-11,5.9e-11,2.58e-10,4.971474e-10,1.000000e+00,9.117707e-01,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,1.645948e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.355515e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.320663e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.294866e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.000000,125.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.292209e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,-3e-11,6.5e-11,2.7e-10,1.633335e-10,1.400000e+00,1.399259e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,-2e-11,5.5e-11,2.8e-10,1.634105e-10,1.400000e+00,1.399260e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,-1e-11,4.5e-11,2.9e-10,1.635215e-10,1.400000e+00,1.399260e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,0.0,3.5e-11,3e-10,1.673557e-10,1.400000e+00,1.399241e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.941283e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,0.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.790292e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,-3e-11,6.5e-11,2.7e-10,2.229007e-10,1.400000e+00,1.388189e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,-2e-11,5.5e-11,2.8e-10,2.236553e-10,1.400000e+00,1.388163e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,-1e-11,4.5e-11,2.9e-10,2.293669e-10,1.400000e+00,1.387854e+00,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,0.0,3.5e-11,3e-10,0,1.400000e+00,2.205403e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,1e-11,2.5e-11,3.1e-10,0,1.400000e+00,1.845060e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,ff,1.400000,125.0,2e-11,1.5e-11,3.2e-10,0,1.400000e+00,1.759604e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,-3e-11,5.9e-11,2.58e-10,4.722839e-10,1.000000e+00,9.776427e-01,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,1.170200e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.153796e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.122354e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.122854e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,0.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.122142e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,-3e-11,5.9e-11,2.58e-10,0,1.000000e+00,1.076504e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,-2e-11,4.9e-11,2.68e-10,0,1.000000e+00,1.052829e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,-1e-11,3.9e-11,2.78e-10,0,1.000000e+00,1.037113e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,0.0,2.9e-11,2.88e-10,0,1.000000e+00,1.027379e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,1e-11,1.9e-11,2.98e-10,0,1.000000e+00,1.018664e-05,mismatch 
9.000000e-14,9.000000e-11,3.000000e-11,sf,1.000000,125.0,2e-11,9e-12,3.08e-10,0,1.000000e+00,1.028396e-05,mismatch 
